City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavieng,PG,2021-12-06 03:26:21,-2.5744,150.7967,83.53,74,88,6.58
1,Bluff,NZ,2021-12-06 03:26:21,-46.6,168.3333,57.79,56,8,21.39
2,Atuona,PF,2021-12-06 03:23:48,-9.8,-139.0333,78.89,73,4,17.74
3,Castro,BR,2021-12-06 03:26:22,-24.7911,-50.0119,60.58,95,82,2.84
4,Hermanus,ZA,2021-12-06 03:26:22,-34.4187,19.2345,59.9,94,100,9.71
5,Chokurdakh,RU,2021-12-06 03:26:23,70.6333,147.9167,-42.75,99,62,6.15
6,Creel,MX,2021-12-06 03:26:23,27.75,-107.6333,40.71,56,1,1.23
7,Ushuaia,AR,2021-12-06 03:21:34,-54.8,-68.3,44.26,65,20,23.02
8,Viedma,AR,2021-12-06 03:26:24,-40.8135,-62.9967,65.05,32,0,13.24
9,Mataura,NZ,2021-12-06 03:23:45,-46.1927,168.8643,57.47,41,77,8.43
10,Yellowknife,CA,2021-12-06 03:26:24,62.456,-114.3525,-20.58,82,1,5.75
11,Mar Del Plata,AR,2021-12-06 03:26:25,-38.0023,-57.5575,63.88,86,0,15.01
12,Coihaique,CL,2021-12-06 03:25:01,-45.5752,-72.0662,50.83,95,11,4.76
13,Mandalgovi,MN,2021-12-06 03:26:25,45.7625,106.2708,22.77,37,0,11.88
14,San Patricio,US,2021-12-06 03:26:26,28.017,-97.5169,75.88,85,100,14.32
15,Coahuayana,MX,2021-12-06 03:26:26,18.7333,-103.6833,80.08,93,100,1.95
16,Kodiak,US,2021-12-06 03:26:27,57.79,-152.4072,35.11,75,90,14.97
17,Hithadhoo,MV,2021-12-06 03:26:27,-0.6,73.0833,81.46,78,99,11.27
18,Ponta Do Sol,PT,2021-12-06 03:26:28,32.6667,-17.1,65.03,65,14,9.24
19,Chicama,PE,2021-12-06 03:26:28,-7.8447,-79.1469,63.14,80,100,6.53
20,Pirapemas,BR,2021-12-06 03:26:28,-3.7267,-44.2233,75.06,92,80,2.21
21,Pevek,RU,2021-12-06 03:26:29,69.7008,170.3133,-9.62,96,100,16.67
22,Rikitea,PF,2021-12-06 03:26:29,-23.1203,-134.9692,76.89,73,96,7.02
23,Bredasdorp,ZA,2021-12-06 03:26:30,-34.5322,20.0403,60.12,94,100,9.22
24,Mumford,GH,2021-12-06 03:26:30,5.2618,-0.759,79.47,86,26,7.76
25,Sao Filipe,CV,2021-12-06 03:26:30,14.8961,-24.4956,74.95,74,40,10.31
26,Buala,SB,2021-12-06 03:26:31,-8.145,159.5921,78.4,89,100,17.16
27,Ishigaki,JP,2021-12-06 03:26:31,24.3448,124.1572,75.33,57,40,16.11
28,Beloha,MG,2021-12-06 03:26:32,-25.1667,45.05,75.0,79,10,3.18
29,West Monroe,US,2021-12-06 03:26:32,32.5185,-92.1476,69.8,74,1,8.05
30,Khangarh,PK,2021-12-06 03:26:32,29.9173,71.1618,51.87,32,0,7.16
31,Punta Arenas,CL,2021-12-06 03:24:59,-53.15,-70.9167,44.46,71,97,8.08
32,Gornyak,RU,2021-12-06 03:26:33,50.9942,81.4661,18.73,86,100,4.94
33,Barrow,US,2021-12-06 03:25:02,71.2906,-156.7887,19.42,73,90,19.57
34,Norman Wells,CA,2021-12-06 03:26:34,65.282,-126.8329,-29.16,68,20,3.44
35,Ribeira Grande,PT,2021-12-06 03:26:34,38.5167,-28.7,63.75,72,86,9.33
36,Avarua,CK,2021-12-06 03:26:35,-21.2078,-159.775,80.65,83,20,5.75
37,New Norfolk,AU,2021-12-06 03:26:35,-42.7826,147.0587,73.71,45,93,8.01
38,Luwuk,ID,2021-12-06 03:26:35,-0.9516,122.7875,86.43,73,100,3.11
39,Hokitika,NZ,2021-12-06 03:26:36,-42.7167,170.9667,58.86,57,95,8.88
40,Pisco,PE,2021-12-06 03:24:54,-13.7,-76.2167,66.25,82,0,12.66
41,Cape Town,ZA,2021-12-06 03:26:36,-33.9258,18.4232,60.12,93,75,1.99
42,Haines Junction,CA,2021-12-06 03:26:37,60.7522,-137.5108,-2.11,100,100,0.69
43,Shumikha,RU,2021-12-06 03:26:37,55.2261,63.2961,24.22,91,100,3.74
