City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
369,Port-Gentil,GA,79.25,-0.7193,8.7815,Fengshui Residence
373,Dingle,PH,83.46,10.9995,122.6711,SEGAYA PROPERTY
375,Porto Novo,BJ,84.02,6.4965,2.6036,Tour Eiffel Hotel Benin
377,Daru,PG,84.65,-9.0763,143.2092,Daru Lodge
380,Pachora,IN,76.08,20.6667,75.35,Vishal Avinash patil
383,Alice Springs,AU,89.15,-23.7,133.8833,Desert Palms Alice Springs
392,Anton Lizardo,MX,77.22,19.05,-95.9833,Hotel CocoAventura
396,Pandan,PH,81.12,14.0453,124.1694,Bonifacio Lodge
404,Biak,ID,83.03,-0.9131,122.8766,Penginapan Kim
406,Gigmoto,PH,80.33,13.7796,124.39,Cj's Travellers Inn
410,Paciran,ID,82.17,-6.8767,112.3761,Tanjung Kodok Beach Resort
411,Faanui,PF,80.51,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
412,Oranjestad,AW,80.55,12.524,-70.027,Divi Village Golf & Beach Resort
413,Belawan,ID,82.69,3.7755,98.6832,Rumah Mamak Bapak M.Radial
415,Cayenne,GF,76.08,4.9333,-52.3333,Hôtel Le Dronmi
416,Jurado,CO,76.14,7.1053,-77.7641,
418,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
419,Adamantina,BR,78.55,-21.6853,-51.0725,Abaporu Hotéis
420,La Asuncion,VE,80.33,11.0333,-63.8628,Colinas de Matasiete
423,Isangel,VU,87.91,-19.55,169.2667,Tanna Lodge
425,Mahebourg,MU,79.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
427,Fare,PF,80.38,-16.7,-151.0167,Maitai Lapita Village Huahine
430,Huai Yot,TH,82.02,7.7893,99.6348,สาม
434,Den Chai,TH,77.61,17.9837,100.0522,Ruean Saen Hotel
436,Takoradi,GH,78.66,4.8845,-1.7554,Raybow International Hotel
437,Quatre Cocos,MU,79.09,-20.2078,57.7625,Sunrise Attitude Hotel
439,Pozo Colorado,PY,77.31,-23.4923,-58.7972,Hospedaje la Amistad
446,Luba,GQ,78.69,3.4568,8.5547,
458,Epe,NG,76.6,6.5841,3.9834,MAGVILLE HOTEL
462,Vanimo,PG,87.21,-2.6741,141.3028,Vahmoneh Lodge Vanimo
463,Tamandare,BR,77.07,-8.7597,-35.1047,Pousada 100 Passos
472,Sumenep,ID,77.99,-7.0167,113.8667,OYO 3271 Homestay Pandian
476,Lorengau,PG,84.34,-2.0226,147.2712,Lorengau Harbourside Hotel
483,Samarai,PG,84.27,-10.6167,150.6667,Nuli Sapi
484,Vila Velha,BR,75.15,-20.3297,-40.2925,Quality Suites Vila Velha
490,Touros,BR,77.9,-5.1989,-35.4608,INN NEW HORIZON
495,Inhambane,MZ,78.71,-23.865,35.3833,Oceano
497,Isla Mujeres,MX,78.85,21.2311,-86.731,Hotel La Joya Isla Mujeres
498,Buchanan,LR,78.15,5.8808,-10.0467,Kamaneahn Hotel Inc
500,Yulara,AU,89.44,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
507,Saint-Louis,SN,76.64,16.3333,-15.0,
508,Kavaratti,IN,80.91,10.5669,72.642,Hotels in Lakshadweep Islands
509,Boueni,YT,80.58,-12.9025,45.0761,The feet in water
513,Puerto Ayacucho,VE,76.87,5.6639,-67.6236,Posada Turistica Manapiare
518,Cockburn Town,TC,80.46,21.4612,-71.1419,Osprey Beach Hotel
523,Marsh Harbour,BS,77.16,26.5412,-77.0636,Abaco Beach Resort
528,Samana,DO,76.64,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
532,Ciudad Bolivar,VE,76.42,8.1222,-63.5497,Hotel Edi
